,pays,capitale,population,date d'adhésion,sièges,poids
0,allemagne,berlin,82162000,1957-01-01,96,1.3703356988657123
1,autriche,vienne,8700471,1995-01-01,18,2.4263669538020842
2,belgique,bruxelles,11289853,1957-01-01,21,2.1815127149779783
3,bulgarie,sofia,7153784,2007-01-01,17,2.7870184226008323
4,chypre,nicosie,848319,2004-01-01,6,8.295045974023676
5,croatie,zagreb,4190669,2013-01-01,11,3.0784780887417456
6,danemark,copenhague,5659715,1973-01-01,13,2.6938631589897866
7,espagne,madrid,46438422,1986-01-01,54,1.363776011827881
8,estonie,tallinn,1315944,2004-01-01,6,5.347374284648732
9,finlande,helsinki,5401267,1995-01-01,13,2.822763201464005
10,france,paris,66661621,1957-01-01,74,1.301914879970682
11,grèce,athènes,10793526,1981-01-01,21,2.28182689046492
12,hongrie,budapest,9830485,2004-01-01,21,2.5053654900782893
13,irlande,dublin,4658530,1973-01-01,11,2.7693033411117427
14,italie,rome,60665551,1957-01-01,73,1.4112613727889787
15,lettonie,riga,1968957,2004-01-01,8,4.765193013788715
16,lituanie,vilnius,2888558,2004-01-01,11,4.466201715066578
17,luxembourg,luxembourg,576249,1957-01-01,6,12.211466060050066
18,malte,la valette,434403,2004-01-01,6,16.198886991198936
19,pays-bas,amsterdam,16979120,1957-01-01,26,1.795911416949981
20,pologne,varsovie,37967209,2004-01-01,51,1.5753905797479404
21,portugal,lisbonne,10341330,1986-01-01,21,2.381604481215885
22,république tchèque,prague,10553853,2004-01-01,21,2.3336460977552247
23,roumanie,bucarest,19759968,2007-01-01,32,1.8992865050895607
24,slovaquie,bratislava,5426252,2004-01-01,13,2.8097658805528902
25,slovénie,ljubljana,2064188,2004-01-01,8,4.5453515575375825
26,suède,stockholm,9851017,1995-01-01,20,2.381089216689604
